City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,puerto gaitan,4.3133,-72.0816,25.19,86,100,3.94,CO,1689976561
220,howrah,22.5892,88.3103,28.0,94,40,2.57,IN,1689976089
221,touros,-5.1989,-35.4608,24.6,73,0,7.47,BR,1689976681
222,la passe,45.5549,-0.8967,17.77,75,0,4.1,FR,1689976682
223,'ali al gharbi,32.4633,46.6864,37.67,9,0,10.44,IQ,1689976682
224,remontnoye,46.5614,43.6501,24.71,47,62,2.9,RU,1689976682
225,makaha,21.4694,-158.2175,28.95,65,100,4.63,US,1689976682
226,pandan,14.0453,124.1694,27.31,86,67,2.57,PH,1689976469
227,fortuna,40.5982,-124.1573,17.03,89,100,5.66,US,1689976683
228,gawler,-34.6,138.7333,10.61,81,100,3.34,AU,1689976683
229,al kharijah,25.4514,30.5464,31.98,16,14,4.53,EG,1689976087
230,pushkinskiye gory,57.0209,28.9103,12.26,77,61,2.71,RU,1689976683
231,alaghsas,17.0187,8.0168,32.55,34,93,5.73,NE,1689976684
232,zavodoukovsk,56.5042,66.5515,13.36,88,36,3.15,RU,1689976684
233,tolanaro,-25.0319,46.9987,16.04,94,40,0.0,MG,1689976684
234,chonchi,-42.6128,-73.8092,8.56,94,100,2.21,CL,1689976685
235,marakkanam,12.2,79.95,29.59,57,100,8.52,IN,1689976685
236,vadso,70.0744,29.7487,8.49,93,75,8.23,NO,1689976685
237,porto novo,6.4965,2.6036,25.9,86,68,4.43,BJ,1689976652
238,al bardiyah,31.7561,25.0865,27.17,76,0,5.32,LY,1689976686
239,mersing,2.4312,103.8405,24.95,94,20,2.06,MY,1689976686
240,staunton,38.1496,-79.0717,29.94,50,0,3.6,US,1689976621
241,la ronge,55.1001,-105.2842,25.14,36,75,5.66,CA,1689976316
242,mirny,62.5353,113.9611,19.02,63,67,1.79,RU,1689976686
243,batticaloa,7.7102,81.6924,27.12,64,100,4.36,LK,1689976687
244,portage la prairie,49.9728,-98.2926,28.05,38,20,3.6,CA,1689976126
245,ust'-kulom,61.6864,53.6902,13.56,93,99,3.02,RU,1689976687
246,borogontsy,62.6683,131.1683,13.39,77,2,2.9,RU,1689976391
247,sao vicente,-23.9631,-46.3919,21.66,62,100,0.51,BR,1689976114
248,bac lieu,9.285,105.7244,25.36,88,100,4.81,VN,1689976688
249,toliara,-23.35,43.6667,18.59,68,27,6.3,MG,1689976266
250,huarmey,-10.0681,-78.1522,21.82,76,19,4.46,PE,1689976129
251,olyokminsk,60.3736,120.4264,15.35,92,100,1.49,RU,1689976689
252,kinmparana,12.8402,-4.9199,29.09,59,100,4.73,ML,1689976689
253,qaqortoq,60.7167,-46.0333,7.64,89,30,1.21,GL,1689976690
254,tidjikja,18.5564,-11.4271,34.0,33,2,6.93,MR,1689976691
255,nouadhibou,20.931,-17.0347,21.99,83,0,8.23,MR,1689976369
256,khanty-mansiysk,61.0042,69.0019,17.06,94,0,3.13,RU,1689976691
257,lerwick,60.1545,-1.1494,11.0,89,17,3.69,GB,1689976691
258,angaur state,6.906,134.13,28.23,80,76,6.28,PW,1689976692
259,berber,18.0216,33.983,35.75,12,79,3.46,SD,1689976692
260,bagua grande,-5.7561,-78.4411,30.89,48,77,3.19,PE,1689976692
261,fort st. john,56.2499,-120.8529,23.94,50,75,4.63,CA,1689976422
262,champerico,14.3,-91.9167,34.3,67,91,3.99,GT,1689976693
263,olonets,60.9847,32.9698,14.42,84,100,5.34,RU,1689976387
264,guiping,23.3925,110.0814,25.86,88,90,1.6,CN,1689976693
265,tamarin,-20.3256,57.3706,22.31,75,18,5.2,MU,1689976693
266,kayangel,8.0823,134.7173,27.79,81,100,5.69,PW,1689976694
267,praia da vitoria,38.7333,-27.0667,22.64,100,40,1.05,PT,1689976694
268,nagai,38.1036,140.035,21.33,95,62,0.61,JP,1689976694
269,dongola,19.1667,30.4833,37.17,12,98,4.4,SD,1689976694
270,opuwo,-18.0607,13.84,16.12,23,0,1.31,NA,1689976695
271,dzhetygara,52.1908,61.2006,17.55,57,92,1.4,KZ,1689976695
272,francavilla al mare,42.4206,14.287,28.98,48,0,1.54,IT,1689976695
273,saudarkrokur,65.7461,-19.6394,10.25,84,71,1.36,IS,1689976695
274,tortoreto lido,42.8038,13.9429,29.05,87,23,1.95,IT,1689976695
275,lincheng,19.9078,109.6858,26.41,87,71,3.24,CN,1689976696
276,saipan,15.1355,145.701,28.69,100,20,4.63,MP,1689976105
277,malvan,16.0667,73.4667,26.57,84,100,9.79,IN,1689976696
278,kenai,60.5544,-151.2583,20.05,60,20,6.69,US,1689976128
279,sumenep,-7.0167,113.8667,24.47,73,47,4.93,ID,1689976441
280,mossel bay,-34.1831,22.146,7.96,66,59,1.27,ZA,1689976697
281,udachny,66.4167,112.4,16.92,72,94,6.92,RU,1689976267
282,altamira,-3.2033,-52.2064,29.05,70,0,0.0,BR,1689976363
283,canico,32.6333,-16.85,23.4,81,20,4.63,PT,1689976698
284,utrik,11.2278,169.8474,28.39,76,90,6.81,MH,1689976111
285,lata,40.1629,-8.3327,13.78,95,4,0.89,PT,1689976698
286,mount gambier,-37.8333,140.7667,8.31,96,65,3.43,AU,1689976698
287,naintre,46.7667,0.4833,18.02,65,6,3.83,FR,1689976698
288,bryukhovetskaya,45.806,38.9996,21.12,81,20,1.96,RU,1689976699
289,lihue,21.9789,-159.3672,28.77,74,100,6.69,US,1689976699
290,padang,-0.9492,100.3543,23.03,85,59,1.44,ID,1689976266
291,warrnambool,-38.3833,142.4833,10.12,81,100,5.5,AU,1689976405
292,port alfred,-33.5906,26.891,19.18,50,82,8.28,ZA,1689976699
293,wainwright,52.839,-110.8572,26.38,43,5,2.69,CA,1689976700
294,al ghayzah,16.2079,52.176,25.31,92,97,3.34,YE,1689976700
295,binbrook,43.121,-79.804,27.16,50,40,6.69,CA,1689976425
296,nagqu,31.5,92.0,1.98,71,1,1.29,CN,1689976427
297,port douglas,-16.4833,145.4667,21.34,74,0,1.82,AU,1689976281
298,pacific grove,36.6177,-121.9166,30.91,83,40,4.47,US,1689976322
299,san luis de la loma,17.2706,-100.8939,31.93,65,32,4.45,MX,1689976701
300,dunedin,-45.8742,170.5036,7.67,72,15,2.24,NZ,1689976320
301,korsholm,63.1142,21.6822,13.83,97,94,1.79,FI,1689976702
302,imperia,43.9667,7.7833,21.89,85,2,2.62,IT,1689976702
303,akhnur,32.8667,74.7333,27.87,84,100,3.71,IN,1689976702
304,alofi,-19.0595,-169.9187,23.94,100,11,5.14,NU,1689976291
305,lindsay,36.203,-119.0882,41.67,25,0,4.12,US,1689976703
306,motygino,58.1831,94.7592,14.88,71,91,1.3,RU,1689976703
307,miracema do tocantins,-9.5618,-48.3967,25.77,31,0,2.27,BR,1689976703
308,vorgashor,67.5833,63.95,15.75,90,52,2.91,RU,1689976704
